Laji;Gren;Event;T1;a;kaava;lajiryhma
40m;40m;40m;5,36;5,2632;A;pikajuoksut
60m;60m;60m;7,38;4,7619;A;pikajuoksut
80m;80m;80m;9,43;4,5455;A;pikajuoksut
100m;100m;100m;11,41;4,6512;A;pikajuoksut
150m;150m;150m;17,21;4,4444;A;pikajuoksut
200m;200m;200m;23,09;4,3478;A;pikajuoksut
300m;300m;300m;37,25;4,0816;A;pikajuoksut
400m;400m;400m;51,59;3,9216;A;pikajuoksut
60maj;60m hack;60m hurdles;8,57;3,2258;A;pikajuoksut
80maj;80m hack;80m hurdles;11,07;3,2258;A;pikajuoksut
100maj;100m hack;100m hurdles;13,62;3,2258;A;pikajuoksut
200maj;200m hack;200m hurdles;26,69;3,5088;A;pikajuoksut
600m;600m;600m;86,48;4;A;kestavyys
800m;800m;800m;120,83;4;A;kestavyys
1000m;1000m;1000m;156,99;4;A;kestavyys
1500m;1500m;1500m;247,03;3,9216;A;kestavyys
2000m;2000m;2000m;344,2;3,8462;A;kestavyys
3000m;3000m;3000m;534,16;3,7736;A;kestavyys
korkeus;hojd;high jump;194,45;2,9412;B;hypyt
seivas;stav;pole vault;437,5;1,9417;B;hypyt
pituus;langd;long jump;676,5;2,439;B;hypyt
kolmiloikka;tresteg;triple jump;13,94;2,5316;B;hypyt
kuula;kula;shot put;18,28;1,2195;B;heitot
kiekko;diskus;discus;60,38;1,1765;B;heitot
moukari;slagga;hammer;62,58;1,0309;B;heitot
keihas;spjut;javelin;71,02;1,1765;B;heitot
pallo;boll;ball;95,94;1,4493;B;heitot
